i2t_cvr_lift,i2t_cvr_base,i2t_cvr_test,min_impr_each,duration_days,total_budget,total_trx_base,total_trx_test,total_trx_uplift,total_gs_uplift
0.01,0.004385713970377237,0.00442957111008101,35772836.0,4737.810211244288,4551119.958410349,156889.42660521375,158458.3208712659,1568.8942660521398,243331.2240013362
0.03,0.004385713970377237,0.0045172853894885545,4014133.0,531.6380372160784,510689.19478493696,17604.83917705229,18132.98435236386,528.1451753115695,81913.87701501965
0.05,0.004385713970377237,0.004604999668896099,1459261.0,193.2668035229455,185651.25397465954,6399.901354126658,6719.896421832991,319.9950677063333,49630.36272374573
0.07,0.004385713970377237,0.004692713948303644,751752.0,99.56320773458711,95639.98590927753,3296.969248659029,3527.757096065161,230.78784740613233,35794.56602596919
0.09,0.004385713970377237,0.004780428227711189,459137.0,60.80882060790676,58412.68957106594,2013.6435552170935,2194.8714751866323,181.22791996953868,28107.95637641683
0.11,0.004385713970377237,0.004868142507118734,310284.0,41.09449705317529,39475.19579312629,1360.8168735845306,1510.5067296788293,149.6898560942986,23216.488639266307
0.13,0.004385713970377237,0.004955856786526278,224252.0,29.70028474935435,28529.964828995875,983.5051292850362,1111.3607960920908,127.85566680705469,19830.065398832743
0.15,0.004385713970377237,0.005043571065933823,170012.0,22.51665452619032,21629.400765688806,745.6240035317749,857.4676040615411,111.84360052976623,17346.63756666446
0.17,0.004385713970377237,0.005131285345341367,133588.0,17.692603138864975,16995.43790724676,585.8787578747543,685.4781467134625,99.59938883870815,15447.593709990935
0.19,0.004385713970377237,0.005218999624748912,107925.0,14.293755380438382,13730.519478842461,473.3281802529633,563.2605345010263,89.93235424806296,13948.262996440622
